title,sponsor,party,locale,billsSponsored,billsPassed,billsFailed,billsPassPercentage
Sen.,Greg Hertz,R,Polson,53,30,23,56.6
Rep.,Bill Mercer,R,Billings,39,25,14,64.1
Sen.,Daniel Emrich,R,Great Falls,36,8,28,22.2
Rep.,Steve Fitzpatrick,R,Great Falls,34,29,5,85.3
Rep.,Lukas Schubert,R,Kalispell,32,4,28,12.5
Sen.,Daniel Zolnikov,R,Billings,30,17,13,56.7
Rep.,Ed Buttrey,R,Great Falls,26,22,4,84.6
Rep.,John Fitzpatrick,R,Anaconda,26,19,7,73.1
Sen.,Dennis Lenz,R,Billings,26,13,13,50
Sen.,Jeremy Trebas,R,Great Falls,25,8,17,32
Rep.,Kerri Seekins-Crowe,R,Billings,21,5,16,23.8
Rep.,Braxton Mitchell,R,Columbia Falls,20,17,3,85
Rep.,Jodee Etchart,R,Billings,20,13,7,65
Rep.,Ken Walsh,R,Twin Bridges,19,14,5,73.7
Rep.,Curtis Schomer,R,Billings,19,16,3,84.2
Rep.,Julie Darling,R,Helena,19,17,2,89.5
Sen.,Mike Yakawich,R,Billings,19,12,7,63.2
Rep.,David Bedey,R,Hamilton,19,15,4,79
Sen.,Barry Usher,R,Laurel,18,11,7,61.1
Sen.,Kenneth Bogner,R,Miles City,18,9,9,50
Rep.,Greg Oblander,R,Billings,18,9,9,50
Rep.,Nelly Nicol,R,Billings,18,4,14,22.2
Sen.,Forrest Mandeville,R,Columbus,17,8,9,47.1
Rep.,Randyn Gregg,R,White Sulphur Springs,17,7,10,41.2
Sen.,Ellie Boldman,D,Missoula,16,3,13,18.8
Rep.,Greg Overstreet,R,Stevensville,16,11,5,68.8
Rep.,Brad Barker,R,Red Lodge,16,6,10,37.5
Rep.,Steve Gist,R,Cascade,16,12,4,75
Rep.,Gary Parry,R,Colstrip,16,10,6,62.5
Sen.,Wylie Galt,R,Martinsdale,15,6,9,40
Sen.,Dave Fern,D,Whitefish,15,7,8,46.7
Rep.,Jedediah Hinkle,R,Belgrade,15,9,6,60
Rep.,Ed Stafman,D,Bozeman,15,0,15,0
Rep.,Katie Zolnikov,R,Billings,15,13,2,86.7
Rep.,Courtenay Sprunger,R,Kalispell,15,11,4,73.3
Rep.,Jane Gillette,R,Three Forks,15,10,5,66.7
Rep.,Larry Brewster,R,Billings,15,9,6,60
Rep.,Mary Caferro,D,Helena,14,2,12,14.3
Sen.,Laura Smith,D,Helena,14,4,10,28.6
Rep.,Llew Jones,R,Conrad,14,13,1,92.9
Sen.,Josh Kassmier,R,Fort Benton,14,5,9,35.7
Sen.,Becky Beard,R,Elliston,14,3,11,21.4
Rep.,Eric Tilleman,R,Cascade,14,13,1,92.9
Sen.,Wendy McKamey,R,Great Falls,13,8,5,61.5
Sen.,Shane Morigeau,D,Missoula,13,3,10,23.1
Sen.,Willis Curdy,D,Missoula,13,6,7,46.1
Sen.,Denley Loge,R,St Regis,13,11,2,84.6
Rep.,Amy Regier,R,Kalispell,13,9,4,69.2
Rep.,Brandon Ler,R,Savage,13,6,7,46.1
Sen.,Theresa Manzella,R,Hamilton,12,3,9,25
Rep.,George Nikolakakos,R,Great Falls,12,6,6,50
Rep.,Jerry Schillinger,R,Circle,12,3,9,25
Rep.,Melissa Romano,D,Helena,11,5,6,45.5
Sen.,John Fuller,R,Kalispell,11,4,7,36.4
Sen.,Mike Cuffe,R,Eureka,11,11,0,100
Rep.,Fiona Nave,R,Columbus,11,3,8,27.3
Rep.,Jonathan Karlen,D,Missoula,11,5,6,45.5
Rep.,Tom Millett,R,Marion,10,4,6,40
Rep.,Neil Duram,R,Eureka,10,5,5,50
Rep.,Lee Deming,R,Laurel,10,1,9,10
Rep.,Denise Baum,D,Billings,10,6,4,60
Sen.,Sue Vinton,R,Billings,10,10,0,100
Sen.,Mark Noland,R,Bigfork,10,3,7,30
Rep.,Terry Falk,R,Kalispell,9,1,8,11.1
Sen.,Tom McGillvray,R,Billings,9,4,5,44.4
Rep.,Steven Kelly,R,Kalispell,9,3,6,33.3
Rep.,SJ Howell,D,Missoula,9,3,6,33.3
Sen.,Jonathan Windy Boy,D,Box Elder,9,6,3,66.7
Rep.,Melissa Nikolakakos,R,Great Falls,9,7,2,77.8
Sen.,Matt Regier,R,Kalispell,9,5,4,55.6
Sen.,Cora Neumann,D,Helena,8,4,4,50
Rep.,Caleb Hinkle,R,Belgrade,8,5,3,62.5
Rep.,Mark Thane,D,Missoula,8,3,5,37.5
Rep.,Paul Tuss,D,Havre,8,5,3,62.5
Rep.,Marta Bertoglio,R,Clancy,8,7,1,87.5
Sen.,Andrea Olsen,D,Missoula,8,0,8,0
Rep.,Jill Cohenour,D,East Helena,8,4,4,50
Rep.,Mike Vinton,R,Billings,7,3,4,42.9
Rep.,Anthony Nicastro,R,Billings,7,3,4,42.9
Sen.,Vince Ricci,R,Billings,7,6,1,85.7
Sen.,John Esp,R,Big Timber,7,7,0,100
Sen.,Bob Phalen,R,Glendive,7,0,7,0
Sen.,Christopher Pope,D,Unknown,7,0,7,0
Rep.,Sherry Essmann,R,Billings,7,3,4,42.9
Rep.,Morgan Thiel,R,Sidney,7,7,0,100
Rep.,Shannon Maness,R,Dillon,7,2,5,28.6
Sen.,Mary Ann Dunwell,D,Helena,7,0,7,0
Rep.,Paul Fielder,R,Thompson Falls,7,4,3,57.1
Rep.,Zack Wirth,R,Wolf Creek,6,2,4,33.3
Rep.,Tom France,D,Missoula,6,1,5,16.7
Rep.,James Reavis,D,Billings,6,2,4,33.3
Rep.,Shane Klakken,R,Grass Range,6,2,4,33.3
Rep.,Ron Marshall,R,Hamilton,6,2,4,33.3
Rep.,Scott Rosenzweig,D,Bozeman,6,0,6,0
Rep.,Eric Albus,R,Glasgow,6,5,1,83.3
Rep.,Melody Cunningham,D,Missoula,6,3,3,50
Rep.,Alanah Griffith,D,Big Sky,6,3,3,50
Sen.,Derek Harvey,D,Butte,6,3,3,50
Rep.,Bob Carter,D,Missoula,6,1,5,16.7
Rep.,Greg Kmetz,R,Miles City,6,3,3,50
Sen.,Carl Glimm,R,Kila,6,1,5,16.7
Rep.,Brian Close,D,Bozeman,6,2,4,33.3
Rep.,Kelly Kortum,D,Bozeman,5,2,3,40
Rep.,Kathy Love,R,Hamilton,5,3,2,60
Rep.,Debo Powers,D,Whitefish,5,1,4,20
Sen.,Tony Tezak,R,Ennis,5,3,2,60
Sen.,Sara Novak,D,Anaconda,5,1,4,20
Sen.,Susan Webber,D,Browning,5,1,4,20
Rep.,Tracy Sharp,R,Polson,5,0,5,0
Rep.,Jamie Isaly,D,Bozeman,5,1,4,20
Rep.,Ed Byrne,R,Bigfork,5,2,3,40
Rep.,Joshua Seckinger,D,Bozeman,5,3,2,60
Sen.,Gayle  Lammers,R,Unknown,5,5,0,100
Rep.,Katie Sullivan,D,Missoula,4,1,3,25
Sen.,Shelley Vance,R,Belgrade,4,3,1,75
Rep.,Tyson Running Wolf,D,Browning,4,2,2,50
Rep.,Valerie Moore,R,Plentywood,4,3,1,75
Rep.,Connie Keogh,D,Missoula,3,2,1,66.7
Rep.,Jane Weber,D,Great Falls,3,1,2,33.3
Sen.,Russ Tempel,R,Chester,3,2,1,66.7
Rep.,Becky Edwards,D,Bozeman,3,1,2,33.3
Rep.,Eric Matthews,D,Bozeman,3,1,2,33.3
Rep.,Jennifer Lynch,D,Butte,3,2,1,66.7
Sen.,Pat Flowers,D,Belgrade,3,1,2,33.3
Rep.,Frank Smith,D,Poplar,3,0,3,0
Sen.,Janet Ellis,D,Helena,3,2,1,66.7
Rep.,Pete Elverum,D,Helena,3,1,2,33.3
Rep.,Zooey Zephyr,D,Missoula,3,0,3,0
Rep.,Luke Muszkiewicz,D,Helena,3,2,1,66.7
Rep.,Scott DeMarois,D,Anaconda,3,1,2,33.3
Rep.,Curtis Cochran,R,St Regis,3,1,2,33.3
Rep.,Shelly Fyant,D,Arlee,2,1,1,50
Sen.,"Bruce ""Butch"" Gillespie",R,Unknown,2,2,0,100
Rep.,Linda Reksten,R,Polson,2,1,1,50
Rep.,Russ Miner,R,Stockett,2,2,0,100
Rep.,Marilyn Marler,D,Missoula,2,0,2,0
Rep.,Lyn Bennett,R,Columbia Falls,2,2,0,100
Rep.,Marc Lee,D,Butte,1,1,0,100
Sen.,Gregg Hunter,R,Glasgow,1,1,0,100
Rep.,Peter Strand,D,Bozeman,1,1,0,100
Rep.,Jade Sooktis,D,Lame Deer,1,1,0,100
Rep.,Thedis Crowe,D,Browning,1,1,0,100
Sen.,Emma Kerr-Carpenter,D,Billings,1,0,1,0
Rep.,Denise Joy,D,Billings,1,0,1,0
Sen.,Jason Ellsworth,R,Hamilton,1,0,1,0
Rep.,Donavon Hawk,D,Butte,1,1,0,100
Rep.,Sidney Fitzpatrick,D,Crow Agency,0,0,0,0
Rep.,Mike Fox,D,Hays,0,0,0,0
Sen.,Denise Hayman,D,Bozeman,0,0,0,0
Sen.,Jacinda Morigeau,D,Arlee,0,0,0,0
